import time: self [us] | cumulative | imported package
import time:       350 |        350 |                 msgpack.ext
import time:       432 |        432 |                 msgpack._cmsgpack
import time:       443 |       1512 |               msgpack
import time:       130 |        130 |                     mmtf.utils.codec_utils
import time:       197 |        197 |                           __future__
import time:       258 |        454 |                         mmtf.converters.numpy_converters
import time:       182 |        182 |                         mmtf.converters.converters
import time:       250 |        886 |                       mmtf.converters
import time:       170 |        170 |                         mmtf.codecs.decoders.numpy_decoders
import time:       207 |        377 |                       mmtf.codecs.decoders
import time:       159 |        159 |                         mmtf.codecs.encoders.encoders
import time:       201 |        360 |                       mmtf.codecs.encoders
import time:       540 |       2161 |                     mmtf.codecs.codecs
import time:       327 |       2617 |                   mmtf.codecs.default_codec
import time:       201 |       2817 |                 mmtf.codecs
import time:       207 |        207 |                 mmtf.utils.decoder_utils
import time:       261 |       3284 |               mmtf.api.mmtf_reader
import time:       303 |        303 |               mmtf.api.mmtf_writer
import time:       470 |      13735 |             mmtf.api.default_api
import time:       193 |      13927 |           mmtf.api
import time:       207 |      14134 |         mmtf
import time:       299 |        299 |               unittest.util
import time:       532 |        831 |             unittest.result
import time:       854 |        854 |               difflib
import time:       101 |        101 |                         org
import time:       102 |        203 |                       org.python
import time:        72 |        274 |                     org.python.core
import time:       442 |        716 |                   copy
import time:       784 |       1499 |                 dataclasses
import time:       464 |       1962 |               pprint
import time:       975 |       3791 |             unittest.case
import time:       346 |        346 |             unittest.suite
import time:       804 |        804 |             unittest.loader
import time:      1024 |       1024 |                 gettext
import time:      1139 |       2162 |               argparse
import time:       164 |        164 |                 unittest.signals
import time:       344 |        507 |               unittest.runner
import time:       486 |       3155 |             unittest.main
import time:       371 |       9294 |           unittest
import time:       208 |        208 |           numpy.testing._private
import time:       151 |        151 |           numpy.testing.overrides
import time:       484 |        484 |             sysconfig
import time:       312 |        796 |           numpy.testing._private.extbuild
import time:        68 |         68 |             gc
import time:       256 |        256 |                   _json
import time:       458 |        714 |                 json.scanner
import time:       521 |       1234 |               json.decoder
import time:       509 |        509 |               json.encoder
import time:       362 |       2105 |             json
import time:       689 |        689 |             _sysconfigdata__linux_x86_64-linux-gnu
import time:      2811 |       5672 |           numpy.testing._private.utils
import time:       487 |      16605 |         numpy.testing
import time:       339 |        339 |         MDAnalysis.lib.picklable_file_io
import time:       468 |        468 |         MDAnalysis.lib._cutil
import time:      2723 |      34718 |       MDAnalysis.lib.util
import time:       608 |        608 |           numpy._typing._add_docstring
import time:       266 |        873 |         numpy.typing
import time:       339 |       1211 |       MDAnalysis.lib.mdamath
import time:       313 |        313 |       _transformations
import time:       952 |     112267 |     MDAnalysis.lib.transformations
import time:       520 |        520 |       MDAnalysis.lib._augment
import time:       452 |        452 |       MDAnalysis.lib.nsgrid
import time:       391 |        391 |       MDAnalysis.lib.c_distances
import time:       191 |        191 |           packaging
import time:       178 |        178 |           packaging._structures
import time:      3515 |       3883 |         packaging.version
import time:        97 |         97 |         distopia
import time:       338 |       4316 |       MDAnalysis.lib._distopia
import time:      1317 |       6994 |     MDAnalysis.lib.distances
import time:       177 |        177 |             MDAnalysis.core.accessors
import time:       373 |        373 |               MDAnalysis.selections.base
import time:       162 |        162 |               MDAnalysis.selections.vmd
import time:       166 |        166 |               MDAnalysis.selections.pymol
import time:       155 |        155 |               MDAnalysis.selections.gromacs
import time:       155 |        155 |               MDAnalysis.selections.charmm
import time:       151 |        151 |               MDAnalysis.selections.jmol
import time:       576 |       1734 |             MDAnalysis.selections
import time:      1239 |       1239 |             MDAnalysis.core.selection
import time:       452 |        452 |             MDAnalysis.core.topologyobjects
import time:       174 |        174 |             MDAnalysis.core._get_readers
import time:      1678 |       5451 |           MDAnalysis.core.groups
import time:       207 |       5657 |         MDAnalysis.core
