import time: self [us] | cumulative | imported package
import time:       520 |        520 |           pandas.core.arrays.period
import time:       496 |        496 |                 pandas._libs.sparse
import time:       626 |       1122 |               pandas.core.arrays.sparse.array
import time:       445 |       1566 |             pandas.core.arrays.sparse.accessor
import time:       142 |       1707 |           pandas.core.arrays.sparse
import time:       442 |        442 |           pandas.core.arrays.string_arrow
import time:       244 |      30960 |         pandas.core.arrays
import time:       191 |        191 |         pandas.core.flags
import time:       778 |        778 |             dataclasses
import time:      1052 |       1052 |               pandas._libs.internals
import time:       139 |        139 |                 pandas.core._numba
import time:       136 |        136 |                 pandas.core.util.numba_
import time:       255 |        529 |               pandas.core._numba.executor
import time:       746 |       2327 |             pandas.core.apply
import time:       184 |        184 |               pandas.errors.cow
import time:       214 |        214 |                       _json
import time:       358 |        572 |                     json.scanner
import time:       383 |        955 |                   json.decoder
import time:       385 |        385 |                   json.encoder
import time:       225 |       1564 |                 json
import time:       224 |        224 |                   pandas._libs.indexing
import time:       124 |        124 |                     pandas.core.indexes
import time:       735 |        735 |                       pandas._libs.index
import time:       265 |        265 |                       pandas._libs.writers
import time:       406 |        406 |                       pandas._libs.join
import time:       148 |        148 |                       pandas.core.array_algos.putmask
import time:       171 |        171 |                       pandas.core.indexes.frozen
import time:       677 |        677 |                       pandas.core.strings.accessor
import time:      1389 |       3788 |                     pandas.core.indexes.base
import time:       228 |        228 |                       pandas.core.indexes.extension
import time:       447 |        675 |                     pandas.core.indexes.category
import time:       493 |        493 |                         pandas.core.indexes.range
import time:       113 |        113 |                           pandas.core.tools
import time:       212 |        325 |                         pandas.core.tools.timedeltas
import time:       482 |       1299 |                       pandas.core.indexes.datetimelike
import time:       138 |        138 |                       pandas.core.tools.times
import time:       637 |       2073 |                     pandas.core.indexes.datetimes
import time:      1393 |       1393 |                       pandas.core.indexes.multi
import time:       493 |        493 |                       pandas.core.indexes.timedeltas
import time:       467 |       2352 |                     pandas.core.indexes.interval
import time:       564 |        564 |                     pandas.core.indexes.period
import time:       287 |       9859 |                   pandas.core.indexes.api
import time:      1347 |      11430 |                 pandas.core.indexing
import time:       138 |        138 |                 pandas.core.sample
import time:       130 |        130 |                 pandas.core.array_algos.replace
import time:       595 |        595 |                     pandas.core.internals.blocks
import time:       290 |        885 |                   pandas.core.internals.api
import time:       361 |        361 |                       pandas.core.internals.ops
import time:       803 |       1163 |                     pandas.core.internals.managers
import time:       250 |       1413 |                   pandas.core.internals.concat
import time:       138 |       2435 |                 pandas.core.internals
import time:       109 |        109 |                   pandas.core.methods
import time:       100 |        100 |                     pandas.core.reshape
import time:       314 |        413 |                   pandas.core.reshape.concat
import time:       344 |        344 |                       gzip
import time:       221 |        221 |                       mmap
import time:        48 |         48 |                         pwd
import time:       202 |        202 |                         grp
import time:      1164 |       1413 |                       tarfile
import time:       775 |        775 |                       zipfile
import time:      1572 |       4323 |                     pandas.io.common
import time:       750 |       5072 |                   pandas.io.formats.format
import time:       316 |       5909 |                 pandas.core.methods.describe
import time:       131 |        131 |                 pandas.core.shared_docs
import time:       102 |        102 |                       pandas._libs.window
import time:       529 |        630 |                     pandas._libs.window.aggregations
import time:       267 |        267 |                       pandas._libs.window.indexers
import time:       384 |        650 |                     pandas.core.indexers.objects
import time:       158 |        158 |                     pandas.core.window.common
import time:       168 |        168 |                     pandas.core.window.numba_
import time:       138 |        138 |                     pandas.core.window.online
import time:       762 |        762 |                     pandas.core.window.rolling
import time:       441 |       2945 |                   pandas.core.window.ewm
import time:       241 |        241 |                   pandas.core.window.expanding
import time:       133 |       3318 |                 pandas.core.window
import time:      1830 |      26882 |               pandas.core.generic
import time:       373 |        373 |               pandas.core.internals.construction
import time:       286 |        286 |               pandas.core.methods.selectn
import time:       152 |        152 |                 pandas.core.tools.numeric
import time:       197 |        348 |               pandas.core.reshape.melt
import time:       324 |        324 |                 pandas._libs.reshape
import time:       732 |        732 |                 pandas.core.indexes.accessors
import time:       123 |        123 |                   pandas.arrays
import time:       666 |        789 |                 pandas.core.tools.datetimes
import time:       742 |        742 |                 pandas.io.formats.info
import time:       307 |        307 |                   pandas.plotting._core
import time:       212 |        212 |                   pandas.plotting._misc
import time:       167 |        685 |                 pandas.plotting
import time:      3913 |       7184 |               pandas.core.series
import time:      6503 |      41757 |             pandas.core.frame
import time:      1004 |       1004 |             pandas.core.groupby.base
import time:       803 |        803 |               pandas._libs.groupby
import time:       176 |        176 |               pandas.core.groupby.numba_
import time:       132 |        132 |                   pandas.core.groupby.categorical
import time:       378 |        509 |                 pandas.core.groupby.grouper
import time:       542 |       1051 |               pandas.core.groupby.ops
import time:       319 |        319 |               pandas.core.groupby.indexing
import time:      1111 |       3458 |             pandas.core.groupby.groupby
import time:      1588 |      50910 |           pandas.core.groupby.generic
import time:       151 |      51060 |         pandas.core.groupby
import time:       360 |     102099 |       pandas.core.api
import time:       123 |        123 |       pandas.tseries.api
import time:       123 |        123 |               pandas.core.computation.common
