import time: self [us] | cumulative | imported package
import time:      1796 |     134315 |       numpy
import time:       636 |        636 |         gzip
import time:       153 |        153 |                 mmtf.utils
import time:       308 |        461 |               mmtf.utils.constants
import time:       126 |        126 |               urllib2
import time:      2292 |       2292 |                   _hashlib
import time:       363 |        363 |                   _blake2
import time:       508 |       3162 |                 hashlib
import time:      1152 |       1152 |                   http
import time:      1420 |       2572 |                 http.client
import time:       316 |        316 |                   urllib.response
import time:       404 |        719 |                 urllib.error
import time:      2167 |       8618 |               urllib.request
import time:       265 |        265 |                 msgpack.exceptions
import time:       333 |        333 |                 msgpack.ext
import time:       393 |        393 |                 msgpack._cmsgpack
import time:       302 |       1292 |               msgpack
import time:       112 |        112 |                     mmtf.utils.codec_utils
import time:       205 |        205 |                           __future__
import time:       180 |        385 |                         mmtf.converters.numpy_converters
import time:       161 |        161 |                         mmtf.converters.converters
import time:       125 |        670 |                       mmtf.converters
import time:       135 |        135 |                         mmtf.codecs.decoders.numpy_decoders
import time:       119 |        253 |                       mmtf.codecs.decoders
import time:       143 |        143 |                         mmtf.codecs.encoders.encoders
import time:       132 |        274 |                       mmtf.codecs.encoders
import time:       348 |       1544 |                     mmtf.codecs.codecs
import time:       193 |       1848 |                   mmtf.codecs.default_codec
import time:       128 |       1975 |                 mmtf.codecs
import time:       242 |        242 |                 mmtf.utils.decoder_utils
import time:       311 |       2527 |               mmtf.api.mmtf_reader
import time:       267 |        267 |               mmtf.api.mmtf_writer
import time:       552 |      13839 |             mmtf.api.default_api
import time:       239 |      14077 |           mmtf.api
import time:       290 |      14367 |         mmtf
import time:       245 |        245 |               unittest.util
import time:       303 |        547 |             unittest.result
import time:       905 |        905 |               difflib
import time:        90 |         90 |                         org
import time:        51 |        141 |                       org.python
import time:        18 |        158 |                     org.python.core
import time:       348 |        506 |                   copy
import time:       747 |       1252 |                 dataclasses
import time:       560 |       1812 |               pprint
import time:       917 |       3633 |             unittest.case
import time:       490 |        490 |             unittest.suite
